Owner                          , Name                                                      , Stars , IdadeMeses, PRsMes, ReleasesMes, DiasDesdeAtualizacao, LinguagemPrincipal, TotalIssues, ClosedIssues, PercentualIssuesFechadas
papers-we-love                 , papers-we-love                                            ,  97799,        141,   3.10,        0.00,                    0, Shell             ,         246,          245,                    99.59
rustdesk                       , rustdesk                                                  ,  97347,         60,  60.97,        0.52,                    0, Rust              ,        3611,         3557,                    98.50
Hack-with-Github               , Awesome-Hacking                                           ,  97147,        114,   0.30,        0.00,                    0, N/A               ,           0,            0,                     0.00
iptv-org                       , iptv                                                      ,  96819,         82,  81.57,        0.00,                    0, TypeScript        ,       15227,        14776,                    97.04
microsoft                      , generative-ai-for-beginners                               ,  96687,         27,  14.67,        0.00,                    0, Jupyter Notebook  ,         182,          170,                    93.41
mui                            , material-ui                                               ,  96514,        133, 156.72,        4.12,                    0, TypeScript        ,       20176,        18561,                    92.00
tauri-apps                     , tauri                                                     ,  96199,         74,  70.26,       13.51,                    0, Rust              ,        5798,         4687,                    80.84
ant-design                     , ant-design                                                ,  95885,        125, 126.68,        5.72,                    0, TypeScript        ,       31671,        30469,                    96.20
shadcn-ui                      , ui                                                        ,  94102,         32,  20.41,        1.69,                    0, TypeScript        ,        3367,         2393,                    71.07
nvbn                           , thefuck                                                   ,  93885,        125,   3.85,        0.14,                    0, Python            ,         761,          473,                    62.16
ryanmcdermott                  , clean-code-javascript                                     ,  93768,        106,   1.41,        0.00,                    0, JavaScript        ,         235,          163,                    69.36
DigitalPlatDev                 , FreeDomain                                                ,  93242,         16,   0.00,        0.00,                    0, HTML              ,           0,            0,                     0.00
Anduin2017                     , HowToCook                                                 ,  93003,         67,   8.75,        0.06,                    0, Dockerfile        ,         783,          346,                    44.19
pytorch                        , pytorch                                                   ,  92896,        109,  56.83,        0.56,                    0, Python            ,       53477,        37866,                    70.81
iluwatar                       , java-design-patterns                                      ,  92617,        133,  11.33,        0.00,                    0, Java              ,         959,          830,                    86.55
neovim                         , neovim                                                    ,  92479,        140, 115.95,        0.33,                    0, Vim Script        ,       13177,        11519,                    87.42
puppeteer                      , puppeteer                                                 ,  92262,        100,  54.42,        5.65,                    0, TypeScript        ,        7227,         6959,                    96.29
microsoft                      , Web-Dev-For-Beginners                                     ,  91682,         58,   9.64,        0.00,                    0, JavaScript        ,         333,          328,                    98.50
deepseek-ai                    , DeepSeek-R1                                               ,  91027,          8,   1.12,        0.12,                    0, N/A               ,         632,          597,                    94.46
tailwindlabs                   , tailwindcss                                               ,  89926,         95,  32.53,        3.05,                    0, TypeScript        ,        4564,         4483,                    98.23
PanJiaChen                     , vue-element-admin                                         ,  89842,        101,   3.08,        0.49,                    0, Vue               ,        3609,         2357,                    65.31
fastapi                        , fastapi                                                   ,  89090,         81,  33.98,        2.57,                    0, Python            ,        3467,         3418,                    98.59
mtdvio                         , every-programmer-should-know                              ,  88100,         97,   1.02,        0.00,                    0, N/A               ,          53,           23,                    43.40
jaywcjlove                     , awesome-mac                                               ,  87970,        110,   9.02,        0.11,                    0, JavaScript        ,         483,          368,                    76.19
supabase                       , supabase                                                  ,  87960,         71, 183.51,        0.31,                    0, TypeScript        ,        4698,         4456,                    94.85
openai                         , whisper                                                   ,  87652,         36,   3.31,        0.36,                    0, Python            ,           0,            0,                     0.00
storybookjs                    , storybook                                                 ,  87647,        114, 100.94,        8.77,                    0, TypeScript        ,       13714,        11624,                    84.76
comfyanonymous                 , ComfyUI                                                   ,  87375,         32,  39.03,        2.44,                    0, Python            ,        6332,         3720,                    58.75
nvm-sh                         , nvm                                                       ,  86732,        185,   3.94,        0.38,                    0, Shell             ,        2318,         2002,                    86.37
2dust                          , v2rayN                                                    ,  86062,         74,   3.73,        3.62,                    0, C#                ,        6066,         6060,                    99.90
ggml-org                       , llama.cpp                                                 ,  86000,         30, 188.10,       33.33,                    0, C++               ,        5800,         5446,                    93.90
ChatGPTNextWeb                 , NextChat                                                  ,  85723,         30,  29.63,        2.57,                    0, TypeScript        ,        3553,         2890,                    81.34
bitcoin                        , bitcoin                                                   ,  85329,        177,  87.75,        0.32,                    0, C++               ,        8704,         8287,                    95.21
florinpop17                    , app-ideas                                                 ,  85115,         79,   1.89,        0.00,                    0, N/A               ,         171,           44,                    25.73
django                         , django                                                    ,  84875,        161,  61.43,        0.00,                    0, Python            ,           0,            0,                     0.00
sveltejs                       , svelte                                                    ,  84004,        106,  56.66,        4.84,                    0, JavaScript        ,        8526,         7700,                    90.31
gin-gonic                      , gin                                                       ,  83846,        135,   8.25,        0.20,                    0, Go                ,        2352,         1680,                    71.43
opencv                         , opencv                                                    ,  83796,        158,  82.89,        0.42,                    0, C++               ,       11245,         8635,                    76.79
gohugoio                       , hugo                                                      ,  83241,        146,  20.36,        2.32,                    0, Go                ,        7807,         7370,                    94.40
mermaid-js                     , mermaid                                                   ,  82622,        130,  18.86,        1.26,                    0, TypeScript        ,        3375,         2105,                    62.37
gothinkster                    , realworld                                                 ,  82291,        115,   3.77,        0.00,                    0, TypeScript        ,         542,          503,                    92.80
animate-css                    , animate.css                                               ,  82121,        167,   1.89,        0.13,                    0, CSS               ,         880,          841,                    95.57
laravel                        , laravel                                                   ,  82022,        171,   9.60,        1.16,                    0, Blade             ,           0,            0,                     0.00
macrozheng                     , mall                                                      ,  81461,         89,   0.01,        0.03,                    0, Java              ,         497,          487,                    97.99
home-assistant                 , core                                                      ,  81045,        144, 528.41,        6.94,                    0, Python            ,       62720,        60408,                    96.31
x1xhlol                        , system-prompts-and-models-of-ai-tools                     ,  80496,          6,   5.50,        0.00,                    0, N/A               ,         105,           56,                    53.33
3b1b                           , manim                                                     ,  80350,        126,   5.10,        0.10,                    0, Python            ,        1213,          761,                    62.74
oven-sh                        , bun                                                       ,  80191,         53, 114.21,        3.72,                    0, Zig               ,       13236,         8407,                    63.52
tonsky                         , FiraCode                                                  ,  80041,        130,   1.05,        0.22,                    0, Clojure           ,        1366,          956,                    69.99
spring-projects                , spring-boot                                               ,  78289,        155,   0.27,        2.06,                    0, Java              ,       39352,        38776,                    98.54
doocs                          , advanced-java                                             ,  78196,         83,   1.06,        0.01,                    0, Java              ,         147,          146,                    99.32
bregman-arie                   , devops-exercises                                          ,  78132,         71,   4.27,        0.00,                    0, Python            ,          99,           64,                    64.65
tensorflow                     , models                                                    ,  77631,        115,  20.36,        0.43,                    0, Python            ,        7313,         6236,                    85.27
MunGell                        , awesome-for-beginners                                     ,  77189,        119,   3.82,        0.00,                    0, N/A               ,         188,          175,                    93.09
microsoft                      , ML-For-Beginners                                          ,  77053,         54,   7.17,        0.00,                    0, HTML              ,         148,          142,                    95.95
DopplerHQ                      , awesome-interview-questions                               ,  76866,        118,   1.48,        0.00,                    0, N/A               ,          61,           34,                    55.74
microsoft                      , playwright                                                ,  76683,         70, 216.04,        2.16,                    0, TypeScript        ,       16376,        15522,                    94.79
nomic-ai                       , gpt4all                                                   ,  76599,         30,  31.13,        1.27,                    0, C++               ,        2190,         1488,                    67.95
MisterBooo                     , LeetCodeAnimation                                         ,  76442,         81,   0.78,        0.00,                    0, Java              ,          62,           42,                    67.74
syncthing                      , syncthing                                                 ,  75851,        142,  19.56,        3.13,                    0, Go                ,        5716,         5384,                    94.19
fighting41love                 , funNLP                                                    ,  75823,         85,   0.16,        0.00,                    0, Python            ,          81,           47,                    58.02
netdata                        , netdata                                                   ,  75725,        147,  74.61,        0.82,                    0, C                 ,        8122,         7952,                    97.91
ByteByteGoHq                   , system-design-101                                         ,  75714,         24,   0.96,        0.00,                    0, N/A               ,          54,           17,                    31.48
anuraghazra                    , github-readme-stats                                       ,  75694,         62,  21.35,        0.00,                    0, JavaScript        ,        1308,         1116,                    85.32
FortAwesome                    , Font-Awesome                                              ,  75614,        163,   1.31,        0.37,                    0, JavaScript        ,       19767,        16022,                    81.05
immich-app                     , immich                                                    ,  75112,         43, 168.44,        6.16,                    0, TypeScript        ,        6452,         5867,                    90.93
vitejs                         , vite                                                      ,  75059,         65,  86.17,        9.22,                    0, TypeScript        ,        8097,         7631,                    94.24
unionlabs                      , union                                                     ,  74893,         28, 100.57,        3.39,                    0, Rust              ,        1833,         1643,                    89.63
